"","word","freq"
"1","afraid",9.91957311100902e-06
"2","alarm",4.36171471152014e-06
"3","anguish",1.65628527066408e-06
"4","anxiety",3.0647193438363e-06
"5","apprehension",2.11424083232102e-06
"6","apprehensive",6.0189536496371e-07
"7","aversion",1.2155287977903e-06
"8","bewildered",7.83737033938482e-07
"9","bewilderment",4.63697035442652e-07
"10","concerned",0.000109946714785524
"11","confused",3.14121269695885e-06
"12","confusion",6.38619225239853e-06
"13","desperate",6.87332716252051e-06
"14","discomfort",7.07410561580896e-07
"15","distraught",3.61898734922301e-07
"16","distress",1.93228078021657e-06
"17","disturb",5.76940827536161e-07
"18","disturbed",3.58705116181661e-06
"19","dread",1.80367085797169e-06
"20","emotional",9.55938724012982e-06
"21","fear",4.0198416726015e-05
"22","feared",3.34569942692375e-06
"23","fearful",1.43049994301044e-06
"24","fearing",9.85387812187548e-06
"25","fears",7.17945747162586e-06
"26","frantic",4.5187248014281e-07
"27","fright",2.02891519450251e-07
"28","frightened",9.11579715894999e-07
"29","hesitant",1.42713772686757e-06
"30","horrible",7.66480421919197e-06
"31","horrific",1.11278910458651e-05
"32","humiliated",3.97865138808765e-07
"33","humiliating",9.90735326019555e-07
"34","impatient",1.04591236892565e-06
"35","insecure",1.09874651141677e-06
"36","instability",4.68588441564537e-06
"37","irritation",3.90768533188223e-07
"38","miserable",6.62001947242034e-07
"39","misery",9.55761061054769e-07
"40","numerous",0.000152512905438164
"41","obsess",7.85131958446575e-07
"42","obsessed",1.09121450439999e-06
"43","obsession",1.30170467085076e-06
"44","overwhelm",1.27430221924166e-06
"45","overwhelmed",5.41470686144208e-06
"46","panic",1.76821249839636e-06
"47","panicked",6.91464738238528e-07
"48","petrified",2.22351371611856e-06
"49","pressure",5.23021987962694e-05
"50","reluctant",1.49509182223042e-05
"51","restless",4.64409914169475e-07
"52","scare",5.49264134634208e-06
"53","scared",1.46369473908387e-06
"54","shake",2.90489659240529e-06
"55","shaken",1.93950122087705e-06
"56","shy",2.01520442834352e-06
"57","sicken",9.42859389020034e-07
"58","sickened",1.89827737966665e-06
"59","startle",4.03008988022316e-07
"60","startled",1.26612587802998e-06
"61","strain",2.3572764800311e-05
"62","strained",4.07102109396907e-06
"63","stress",2.78449577962912e-05
"64","stressed",1.13060603165253e-05
"65","stunned",1.99567919683938e-06
"66","stuns",1.05502008890127e-06
"67","suffer",2.37339431416939e-05
"68","suffering",2.61277481484283e-05
"69","tense",1.26367492346809e-06
"70","tension",1.81400131119104e-06
"71","terrified",1.68296095066431e-06
"72","terrifying",7.45394154351288e-07
"73","terror",0.000102546189119893
"74","tragic",1.78090352449719e-05
"75","tremble",2.45184292182961e-06
"76","trembling",5.95863088788979e-07
"77","turmoil",1.36083268994569e-05
"78","uncertain",6.77715445126239e-06
"79","uncomfortable",1.39121869675839e-06
"80","uneasy",1.18268920767986e-06
"81","unsure",2.10676775649325e-06
"82","upset",5.16582471887723e-06
"83","upsetting",6.33596101955583e-07
"84","vulnerable",4.82413900092831e-05
"85","worried",2.21484429914136e-05
"86","worry",1.43139244718504e-05
