"","word","freq"
"1","anthrax",6.30952685384196e-06
"2","antiviral",3.87429623115359e-06
"3","assassination",2.88632560328595e-06
"4","attack",0.000185835605722247
"5","avalanche",1.40496091538748e-06
"6","avian",1.06699840707675e-05
"7","bacteria",2.15107741845419e-06
"8","biological",2.56648356532473e-05
"9","blizzard",1.43940614936394e-06
"10","bomb",2.85070195465446e-05
"11","botnet",5.73833754622948e-06
"12","breach",6.89368123985942e-06
"13","burn",6.41759400660105e-06
"14","calderon",1.70819324903134e-06
"15","cartel",4.10465447164903e-06
"16","closure",3.07114147209011e-05
"17","cocaine",3.8448812317208e-06
"18","collapse",1.91198905526026e-05
"19","conficker",6.54157717425671e-07
"20","contamination",9.68150945797032e-06
"21","crash",6.54734849735096e-06
"22","deaths",1.99478978363312e-05
"23","decapitated",3.64794046845873e-07
"24","disaster",0.000132678218564898
"25","earthquake",6.98353018663137e-06
"26","ebola",6.68619147480103e-07
"27","emergency",0.000267290141661226
"28","enriched",3.56704753630526e-06
"29","epidemic",1.13714767603031e-05
"30","evacuation",6.48036953278324e-06
"31","execution",3.78941147078574e-06
"32","exercise",3.37242357192649e-05
"33","explosion",8.08538243407281e-06
"34","explosive",2.03042796860469e-05
"35","exposure",1.97555290729736e-05
"36","extremism",5.44141539206339e-06
"37","farc",2.95744448137347e-06
"38","flood",0.000110316588164214
"39","flu",1.68996513989157e-05
"40","fundamentalism",4.54191200203797e-06
"41","gang",3.49789047425034e-05
"42","gangs",7.31209427641796e-06
"43","gunfight",4.24439261165239e-07
"44","guzman",1.26944875329594e-06
"45","h1n1",3.17431815257708e-06
"46","h5n1",5.05345732183196e-06
"47","hacker",2.36428249450551e-05
"48","hamas",4.98804127657471e-06
"49","hazardous",1.99439281664137e-05
"50","hazmat",3.25962001753369e-06
"51","heroin",6.72918422663599e-06
"52","hezbollah",7.74221799366206e-06
"53","hostage",4.85279254368288e-06
"54","hurricane",7.59774488835043e-05
"55","incident",1.39884321557731e-05
"56","infection",5.0703693852461e-06
"57","influenza",1.13367864804579e-05
"58","islamist",1.38249668689447e-05
"59","jihad",1.72715406680163e-06
"60","juarez",1.52168998413579e-06
"61","kidnap",6.40428652773255e-07
"62","listeria",1.45591133778475e-06
"63","lockdown",8.1750643591742e-06
"64","looting",1.01543178863853e-06
"65","magnitude",6.51842478729666e-06
"66","malware",1.22286342516842e-06
"67","matamoros",1.15535195070548e-06
"68","methamphetamine",2.28148591310982e-05
"69","michoacana",8.02547885646383e-07
"70","militia",2.38818724916002e-06
"71","mitigation",1.86037963832667e-05
"72","mudslide",3.21261702538056e-07
"73","mutation",1.22669575715523e-06
"74","narcotics",8.01212319785782e-06
"75","nogales",9.5157234499822e-06
"76","outbreak",1.08862229421081e-05
"77","pandemic",1.24472603005351e-05
"78","pirates",1.31286063346779e-06
"79","plague",4.19490929238553e-06
"80","plume",1.24533154709915e-06
"81","quarantine",2.31898631552811e-06
"82","radiation",1.28369518750687e-05
"83","radicals",1.4043521328603e-06
"84","radioactive",9.59042205428985e-06
"85","recovery",0.000256298832852517
"86","recruitment",1.10546070532043e-05
"87","relief",0.000204934043841729
"88","resistant",5.53983961829273e-06
"89","response",0.000169545337585637
"90","ricin",1.5760335320769e-06
"91","riot",1.06520012423431e-06
"92","salmonella",4.33564784704855e-06
"93","sarin",1.17482087731683e-06
"94","screening",3.20860960553881e-05
"95","security",0.00112336910034082
"96","shooting",6.16541241593692e-06
"97","shootout",7.0137844512294e-07
"98","sinaloa",4.15573528385054e-07
"99","smugglers",2.2890540388896e-06
"100","smuggling",5.63850925053275e-06
"101","sonora",4.39054534569648e-07
"102","spammer",2.20630250424018e-06
"103","spillover",1.11170637015821e-06
"104","standoff",2.15050435775765e-06
"105","storm",3.32069600674819e-05
"106","strain",2.3572764800311e-05
"107","symptoms",4.85231130053099e-06
"108","taliban",1.11777231431313e-05
"109","tamiflu",8.70343874913359e-06
"110","temblor",3.9203833307261e-07
"111","terror",0.000102546189119893
"112","terrorism",6.09831846572268e-05
"113","threat",0.000131993221613356
"114","tijuana",2.2081935306796e-06
"115","tornado",4.31965071662221e-06
"116","torreon",2.10799932084095e-06
"117","toxic",1.74169766584608e-05
"118","trafficking",3.11483853801498e-05
"119","tremor",2.2338238576111e-06
"120","trojan",3.50998604504481e-06
"121","tsunami",1.471523454707e-05
"122","twister",4.72153022558668e-07
"123","typhoon",8.54345934111493e-07
"124","vaccine",1.573788202517e-05
"125","violence",0.000116489751111843
"126","virus",7.67955539896697e-06
"127","warning",3.61876918683919e-05
"128","wildfire",8.31652395011326e-06
"129","yuma",4.39926923894138e-06
"130","zetas",1.07021695717015e-06
