"","word","freq"
"1","afterlife",1.67671115277245e-06
"2","allah",4.59777510093285e-07
"3","altar",2.0105712793209e-06
"4","amen",2.66117317742584e-06
"5","amish",2.33285793639651e-06
"6","angel",9.05958956788059e-06
"7","angels",2.45701599228571e-06
"8","baptist",1.10025765921962e-05
"9","baptize",5.80523133080563e-07
"10","belief",2.1884579330938e-05
"11","bible",7.35290203360975e-06
"12","bless",4.49799556844321e-05
"13","buddha",1.20133688372431e-07
"14","catholic",1.76137439995355e-05
"15","chapel",5.00707947183967e-06
"16","chaplain",3.11608880247924e-06
"17","christ",3.79310692736118e-06
"18","christen",1.53762007093903e-06
"19","christmas",2.17089269134756e-05
"20","church",3.56917482771093e-05
"21","clergy",3.39860572807267e-06
"22","confess",1.16683210829302e-06
"23","crucify",3.56777099939042e-07
"24","demon",3.91256013532473e-07
"25","demonic",7.30485422594456e-07
"26","demons",3.79146333046552e-07
"27","devil",2.49721392207783e-06
"28","divine",3.8545961622536e-06
"29","doom",1.31126631932584e-06
"30","episcopal",3.46134386477086e-06
"31","faith",0.000130094372516472
"32","fundamentalist",3.61462761903693e-06
"33","gentile",5.59480499881003e-06
"34","god",7.59256493890935e-05
"35","goddess",1.21487160781272e-06
"36","gospel",2.42746586931252e-06
"37","heaven",7.02420148478175e-06
"38","hellish",5.71202647947446e-07
"39","hells",1.52008883490291e-06
"40","hindu",1.07346942731515e-06
"41","holier",3.47478719801794e-07
"42","holiest",9.82393226868641e-07
"43","holy",1.1178848592807e-05
"44","hymn",1.47212127493669e-06
"45","imam",1.83750303230145e-06
"46","immoral",2.23709654996829e-06
"47","immortal",1.01990012189165e-06
"48","islam",2.73133788588263e-06
"49","jesuit",1.86662051618792e-06
"50","jesus",2.75495925001062e-06
"51","jew",6.54897429826332e-07
"52","jewish",8.9428522121597e-06
"53","juda",5.21723644368752e-07
"54","karma",1.1623008888696e-06
"55","kippur",9.84960700868727e-07
"56","koran",1.14990865793944e-06
"57","kosher",6.38923482651502e-07
"58","lord",4.93655286757499e-06
"59","lutheran",3.33107936959672e-06
"60","mecca",7.78798505053914e-07
"61","meditate",7.99117933624865e-08
"62","mennonite",1.21403193551671e-06
"63","mercy",6.19760465635332e-05
"64","methodist",4.25097869993728e-06
"65","ministry",1.79620791562219e-05
"66","missionary",2.09529339805791e-06
"67","mitzvah",1.54157839778078e-06
"68","mohammad",1.33726246013217e-06
"69","monk",4.78244695389029e-06
"70","moral",2.17282928061712e-05
"71","morality",1.14706797009967e-06
"72","morals",1.03931553664959e-06
"73","mormon",8.75246248606656e-06
"74","mosque",1.60365367478081e-06
"75","muhammed",9.43423586358375e-07
"76","muslim",8.99786611112946e-06
"77","nun",1.22745246536896e-06
"78","orthodox",8.00162275530462e-06
"79","pagan",2.53554208846485e-06
"80","papal",1.0087604116684e-06
"81","paradise",1.22803047401166e-06
"82","passover",6.15817241207731e-07
"83","penance",1.99741705440336e-06
"84","pew",9.68293690022196e-06
"85","pilgrim",1.80964781032526e-06
"86","pious",7.63800672784275e-07
"87","pope",9.27722774656887e-06
"88","preach",2.65085401575232e-06
"89","presbyterian",2.4482680643055e-06
"90","priest",3.54116347663491e-06
"91","prophet",1.46631458026139e-06
"92","protestant",2.27869153369141e-06
"93","puritan",9.64004057718697e-07
"94","quran",7.50123304867002e-07
"95","rabbi",2.64095430178032e-06
"96","ramadan",1.77467079786693e-06
"97","religion",9.96671968099168e-06
"98","rite",1.24359144463868e-06
"99","ritual",4.16608936742064e-06
"100","rosary",8.18029505703697e-07
"101","sabbath",8.45970489789645e-07
"102","sacred",1.27146903727609e-05
"103","sacrifice",3.79704721336153e-05
"104","saint",1.05076893495605e-05
"105","satan",8.87874429872707e-07
"106","scripture",3.33753615235015e-06
"107","sect",9.41822297400955e-07
"108","sectarian",8.32514003756148e-06
"109","seminary",1.8103189534965e-05
"110","shia",4.54646700246506e-06
"111","shiite",3.60527103167577e-06
"112","shrine",9.81729085031915e-07
"113","sikh",1.30827060185986e-06
"114","sin",1.35636989156128e-05
"115","sinner",2.82844576040653e-06
"116","soul",5.03479263880326e-06
"117","spirit",5.73890566978622e-05
"118","sunni",6.52640978384175e-06
"119","temple",2.08117991952066e-06
"120","testament",6.01649919612471e-06
"121","theology",1.09970609665418e-06
"122","torah",1.15737249983419e-06
"123","vatican",1.25641858922071e-06
"124","veil",1.75218535466597e-06
"125","worship",4.35360875108949e-06
"126","yiddish",2.16880556922666e-07
"127","zen",2.08347680081479e-07
"128","zion",1.87932299644794e-06
