"","word","freq"
"1","adventists",2.68131874963762e-06
"2","agape",7.72345947394616e-07
"3","almighty",1.76925713034788e-06
"4","altar",2.0105712793209e-06
"5","amen",2.66117317742584e-06
"6","amish",2.33285793639651e-06
"7","angel",9.05958956788059e-06
"8","angles",7.58155539684391e-07
"9","apostle",3.63502514111943e-06
"10","apostles",4.36174456480161e-07
"11","archbishop",1.22639069175191e-06
"12","archdiocese",1.02749059532932e-06
"13","ark",1.42335282220117e-06
"14","atonement",3.15281094534892e-07
"15","baptism",1.82500915160978e-07
"16","baptist",1.10025765921962e-05
"17","baptists",6.17056877983511e-07
"18","baptized",3.65219251746507e-07
"19","basilica",9.09259640723601e-07
"20","beatitude",8.51648474280568e-07
"21","believers",1.80412667027008e-06
"22","bible",7.35290203360975e-06
"23","bibles",4.87774169179769e-07
"24","biblical",1.45313570345783e-06
"25","bless",4.49799556844321e-05
"26","canonized",9.40295524304964e-08
"27","cardinal",2.05983606391261e-06
"28","cathedral",1.74823618861625e-06
"29","catholic",1.76137439995355e-05
"30","catholicism",1.90655163219064e-07
"31","catholicos",5.02206054230949e-07
"32","catholics",1.09998975650785e-06
"33","chapel",5.00707947183967e-06
"34","chaplain",3.11608880247924e-06
"35","christ",3.79310692736118e-06
"36","christened",7.04336797310149e-07
"37","christening",3.42271086744072e-06
"38","christian",1.86424162758704e-05
"39","christianity",9.40289500335751e-07
"40","christians",1.79957794190507e-06
"41","christmas",2.17089269134756e-05
"42","church",3.56917482771093e-05
"43","churches",6.50986089154104e-06
"44","churchyard",3.63294734478777e-07
"45","clergy",3.39860572807267e-06
"46","clergyman",5.93749021101282e-07
"47","clergymen",1.2146670701675e-06
"48","commandment",9.23120889430627e-07
"49","communion",9.40950949860579e-07
"50","congregants",6.63486403930648e-07
"51","congregation",1.48890730684341e-06
"52","congregations",1.33344864687681e-06
"53","convent",4.83259453647178e-07
"54","conversions",1.15165634214791e-06
"55","coreligionists",1.33252890889741e-06
"56","corinthians",7.29261242734084e-07
"57","covenant",1.223418152999e-06
"58","creator",4.84114524431991e-06
"59","creed",5.82250066580332e-07
"60","crucifixion",1.49176034564236e-07
"61","crusade",1.5342231267275e-06
"62","crusader",3.34969012480919e-06
"63","deacon",5.64849186933857e-07
"64","deity",3.48039522950579e-07
"65","denomination",4.82095236098628e-07
"66","denominations",2.4864442443252e-07
"67","deuteronomy",2.44451922560727e-07
"68","devil",2.49721392207783e-06
"69","devine",8.21021596602499e-07
"70","devout",9.68462288401045e-07
"71","diocesan",1.22768736965777e-06
"72","diocese",1.61468010393731e-06
"73","dios",4.01305121823873e-07
"74","disciples",7.48171689951332e-07
"75","divine",3.8545961622536e-06
"76","easter",2.13970345292486e-06
"77","ecclesiastes",1.79482929687503e-06
"78","emmanuel",1.3886379015996e-06
"79","ephesians",6.26080379955661e-07
"80","episcopal",3.46134386477086e-06
"81","epistle",9.46622134055473e-07
"82","eternity",7.13510965434573e-07
"83","evangelical",1.29787259145992e-06
"84","evangelicals",9.41719741472407e-07
"85","evangelism",2.87521663319723e-06
"86","evangelist",7.579895991231e-07
"87","evil",4.87643059457807e-06
"88","exaltation",4.10130198942987e-07
"89","exalted",8.7633293028908e-07
"90","exodus",9.14410684475182e-07
"91","ezekiel",9.97521018728316e-07
"92","faith",0.000130094372516472
"93","fellowship",5.19210734145191e-06
"94","flock",1.0650356799878e-06
"95","fundamentalist",3.61462761903693e-06
"96","fundamentalists",2.01590682278846e-06
"97","gabriel",2.02715252432463e-06
"98","genesis",1.72458632558919e-06
"99","god",7.59256493890935e-05
"100","godless",3.30076250914724e-07
"101","godly",2.17647456556533e-06
"102","godsend",3.24678381433893e-06
"103","godspeed",5.90611582024415e-07
"104","hallelujah",2.60897288390123e-07
"105","halo",8.74100848877628e-07
"106","heaven",7.02420148478175e-06
"107","heavenly",3.60775584993419e-07
"108","hell",4.03425768844737e-06
"109","holier",3.47478719801794e-07
"110","holiest",9.82393226868641e-07
"111","holiness",1.82542077287345e-06
"112","holy",1.1178848592807e-05
"113","hymn",1.47212127493669e-06
"114","interreligious",3.54488466077314e-07
"115","irreligious",4.98163799370757e-07
"116","isaiah",3.05550980006789e-07
"117","ishmael",3.93643650180729e-07
"118","israelites",5.35713299898044e-07
"119","jesuit",1.86662051618792e-06
"120","jesus",2.75495925001062e-06
"121","kingdom",4.09398689750369e-06
"122","lazarus",2.428718959505e-07
"123","lent",1.63838037611957e-06
"124","lenten",1.6216168005987e-06
"125","leviathan",8.00850360945644e-07
"126","leviticus",6.07646183497638e-07
"127","lord",4.93655286757499e-06
"128","lutheran",3.33107936959672e-06
"129","martyrs",4.49246156896203e-07
"130","mass",4.66756260062373e-05
"131","mennonite",1.21403193551671e-06
"132","messiah",9.81960101445444e-07
"133","messianic",1.38785315494568e-06
"134","methodist",4.25097869993728e-06
"135","micah",7.72915522212756e-07
"136","ministered",3.69713649384279e-07
"137","ministers",4.10246353849901e-06
"138","ministries",1.71696297413702e-05
"139","ministry",1.79620791562219e-05
"140","missionaries",8.71153453392188e-07
"141","missionary",2.09529339805791e-06
"142","monasteries",1.05186054846914e-06
"143","monastery",1.53362821671766e-06
"144","monk",4.78244695389029e-06
"145","monks",1.28484802321707e-06
"146","monotheistic",5.65805033871849e-07
"147","monsignor",7.81516660867336e-07
"148","mormon",8.75246248606656e-06
"149","moses",3.33167065074933e-06
"150","multisectarian",8.32393942086608e-07
"151","navidad",2.43707014571969e-06
"152","nehemiah",8.49694614065785e-07
"153","nun",1.22745246536896e-06
