URLs,year,IslamWords,totals,anxioutyWords,chappwords,DHSWords,ReligLWICwords,optwords,frequency_anxiouty,frequency_religLWIC,frequency_dhs,frequency_anxiouty_lag1,frequency_religLWIC_lag1,frequency_dhs_lag1,frequency_reli_Lwicnoislam,frequency_chapp,frequency_islam,frequency_opt,state,globalterrorism,abbr,femadec,terroristattack,bioguide,end_last_term,first,last,religion,unafilated,other,jew,mormon,othodoxchristain,protestantdemonation,catholic,aa,hisp,id,icpsr,thomas,govtrack,cong,gender,type,start,end,district,class,party,dw1,comc,comr,leadcham,simpleparty,dwisest,manualcorrection,scomc,scomr,percentwhite,pres2,veryconservative,don'tattendchurch,don'tpray,unemploy,nonwhite,abrvState,catholic_state,jewish_state,evang_state,orthodox_state,bkprot_state,mainline_state,conservative.non.traditional_state,liberal.protestant_state,secular_state,veryReligous,upforElection,Female,Republican,urls2
akaka,2006,10,2723818,2784,2644,14415,2230,5404,0.001022096,0.000818705,0.005292205,NA,NA,NA,0.000815033,0.000970697,3.67E-06,0.001983981,Hawaii,2743,HI,7,0,A000069,1/3/13,Daniel,Akaka,Congregationalist,0,0,0,0,0,1,0,0,0,10274,14400,7,300001,109,M,sen,1/3/01,12/9/06,0,1,Democrat,-0.442,0,1,0,D,NULL,NULL,0,1,0.5051546,3.051546,3.041667,2.969072,2.863158,2.7,0,hi,21.00468445,0,5.84563303,0,0.631638408,4.308315277,3.45623517,0.018407747,64.73409271,0.47,1,0,0,akaka
akaka,2008,24,2900678,3059,2083,13682,1812,5962,0.001054582,0.000624683,0.004716829,0.001022096,0.000818705,0.005292205,0.000616409,0.000718109,8.27E-06,0.002055383,Hawaii,4785,HI,3,0,A000069,1/3/13,Daniel,Akaka,Congregationalist,0,0,0,0,0,1,0,0,0,10276,14400,7,300001,110,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.447,1,0,0,D,NULL,NULL,1,0,0.4673913,3.141304,3.26087,4.315217,4.728261,4.2,0,hi,21.00468445,0,5.84563303,0,0.631638408,4.308315277,3.45623517,0.018407747,64.73409271,0.47,0,0,0,akaka
akaka,2010,0,353918,110,137,1066,110,628,0.000310807,0.000310807,0.003011998,0.001054582,0.000624683,0.004716829,0.000310807,0.000387096,1.00E-09,0.001774423,Hawaii,4805,HI,1,0,A000069,1/3/13,Daniel,Akaka,Congregationalist,0,0,0,0,0,1,0,0,0,10277,14400,7,300001,111,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.453,1,0,0,D,NULL,NULL,1,0,0.4883721,2.622093,3.267442,4.331395,3.761628,7,0,hi,21.00468445,0,5.84563303,0,0.631638408,4.308315277,3.45623517,0.018407747,64.73409271,0.47,0,0,0,akaka
akaka,2012,111,69104371,80232,10241,116582,9620,231209,0.001161027,0.000139211,0.001687043,0.000310807,0.000310807,0.003011998,0.000137604,0.000148197,1.61E-06,0.003345795,Hawaii,8481,HI,2,0,A000069,1/3/13,Daniel,Akaka,Congregationalist,0,0,0,0,0,1,0,0,0,10275,14400,7,300001,112,M,sen,1/4/07,1/3/13,0,1,Democrat,-0.458,1,0,0,D,NULL,NULL,1,0,0.4946809,2.484043,3.340425,4.395722,3.84492,6,0,hi,21.00468445,0,5.84563303,0,0.631638408,4.308315277,3.45623517,0.018407747,64.73409271,0.47,1,0,0,akaka
alexander,2006,120,2641323,783,2074,10758,2714,7576,0.000296443,0.001027516,0.00407296,NA,NA,NA,0.000982085,0.000785214,4.54E-05,0.002868261,Tennessee,2743,TN,15,0,A000360,1/3/21,Lamar,Alexander,Presbyterian,0,0,0,0,0,1,0,0,0,144,40304,1695,300002,109,M,sen,1/7/03,1/3/09,0,2,Republican,0.337,0,0,0,R,NULL,NULL,0,0,0.8338235,2.876106,3.435045,2.486726,2.376855,5.2,0,tn,2.813159704,0.245446771,40.63577652,0,5.746162891,11.27584839,0.320574254,0.051812675,38.79838562,0.73,0,0,1,alexander
alexander,2008,197,12458313,4391,5948,40339,7284,32067,0.000352456,0.000584671,0.003237919,0.000296443,0.001027516,0.00407296,0.000568858,0.000477433,1.58E-05,0.002573945,Tennessee,4785,TN,19,2,A000360,1/3/21,Lamar,Alexander,Presbyterian,0,0,0,0,0,1,0,0,0,145,40304,1695,300002,110,M,sen,1/7/03,1/3/09,0,2,Republican,0.323,0,0,0,R,NULL,NULL,0,0,0.8774885,3.065951,3.689127,3.242703,2.956857,6.6,0,tn,2.813159704,0.245446771,40.63577652,0,5.746162891,11.27584839,0.320574254,0.051812675,38.79838562,0.73,1,0,1,alexander
alexander,2010,46,4268476,3113,2565,10726,2144,9370,0.000729301,0.000502288,0.002512842,0.000352456,0.000584671,0.003237919,0.000491511,0.000600918,1.08E-05,0.002195164,Tennessee,4805,TN,59,0,A000360,1/3/21,Lamar,Alexander,Presbyterian,0,0,0,0,0,1,0,0,0,147,40304,1695,300002,111,M,sen,1/6/09,1/3/15,0,2,Republican,0.309,0,0,0,R,NULL,NULL,0,0,0.811789,3.039297,3.675284,3.301965,2.571872,9.4,0,tn,2.813159704,0.245446771,40.63577652,0,5.746162891,11.27584839,0.320574254,0.051812675,38.79838562,0.73,0,0,1,alexander
alexander,2012,15,2100160,1356,1003,3958,978,4436,0.000645666,0.00046568,0.001884619,0.000729301,0.000502288,0.002512842,0.000458537,0.000477584,7.14E-06,0.002112221,Tennessee,8481,TN,10,0,A000360,1/3/21,Lamar,Alexander,Presbyterian,0,0,0,0,0,1,0,0,0,146,40304,1695,300002,112,M,sen,1/6/09,1/3/15,0,2,Republican,0.294,0,1,0,R,NULL,NULL,0,1,0.8037915,2.872986,3.643264,3.57075,2.816714,7.8,0,tn,2.813159704,0.245446771,40.63577652,0,5.746162891,11.27584839,0.320574254,0.051812675,38.79838562,0.73,0,0,1,alexander
allard,2006,126,3911116,2681,2386,13221,2034,14046,0.000685483,0.000520057,0.003380366,NA,NA,NA,0.000487841,0.000610057,3.22E-05,0.003591303,Colorado,2743,CO,4,0,A000109,1/3/09,Wayne,Allard,Protestant,0,0,0,0,0,1,0,0,0,8282,29108,11,300003,109,M,sen,1/7/03,1/3/09,0,2,Republican,0.608,0,0,0,R,NULL,NULL,0,0,0.7232,3,3.169657,2.980645,2.953301,4.2,0,co,14.65799141,1.473715663,11.2502327,0,1.069179893,8.61615181,2.134322643,0.088665776,60.70973969,0.47,0,0,1,allard
allard,2008,89,4397457,2888,2811,14670,2384,14117,0.000656744,0.000542133,0.00333602,0.000685483,0.000520057,0.003380366,0.000521894,0.000639234,2.02E-05,0.003210265,Colorado,4785,CO,5,0,A000109,1/3/09,Wayne,Allard,Protestant,0,0,0,0,0,1,0,0,0,8283,29108,11,300003,110,M,sen,1/7/03,1/3/09,0,2,Republican,0.612,0,0,0,R,NULL,NULL,0,0,0.8245283,3.183365,3.303774,3.896226,3.394687,4.8,0,co,14.65799141,1.473715663,11.2502327,0,1.069179893,8.61615181,2.134322643,0.088665776,60.70973969,0.47,1,0,1,allard
